state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
TX,91000,77,7007000,1612000,0.62,4344000,1998
TX,108000,81,8748000,2799000,0.64,5599000,1999
TX,105000,79,8295000,2986000,0.57,4728000,2000
TX,97000,79,7663000,1533000,0.65,4981000,2001
TX,114000,67,7638000,985000,1.14,8707000,2002
TX,140000,67,9380000,1126000,1.4,13132000,2003
TX,116000,76,8816000,1411000,0.97,8552000,2004
TX,84000,71,5964000,954000,0.86,5129000,2005
TX,82000,70,5740000,976000,0.89,5109000,2006
TX,105000,82,8610000,1550000,0.96,8266000,2007
TX,77000,64,4928000,1380000,1.34,6604000,2008
TX,89000,63,5607000,1065000,1.39,7794000,2009
TX,1.00E+05,72,7200000,792000,1.51,10872000,2010
TX,78000,58,4524000,633000,1.78,8053000,2011
TX,92000,52,4784000,718000,2,9568000,2012
